index,keep_incomplete_data,normalize_data,standardize_data,full_one_hot,polynomial_degree,reg_fit_intercept,lasso_alpha,ridge_alpha,ridge_solver,el_net_alpha,el_net_l1_ratio,knr_n_neighbors,knr_weights,knr_p,linear_regression_mse,lasso_mse,ridge_mse,elastic_net_mse,knr_mse
16,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,10,uniform,1,570.2735429757472,569.7606440735876,570.3517385790343,569.7606440735876,0.8736865657870583
17,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,10,uniform,2,570.2185797166279,568.5964129904378,570.3120305310352,568.5964129904378,0.9097357066371676
18,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,10,distance,1,570.1515700580261,570.1053742071388,570.2346025531239,570.1053742071388,0.8428426465392735
19,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,10,distance,2,570.1198403273054,571.4547352577083,570.2019384171615,571.4547352577083,0.8857964925824696
20,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,15,uniform,1,570.3146304720071,568.8992831464566,570.3994434527555,568.8992831464566,0.8320930051048769
21,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,15,uniform,2,570.1368015738759,571.3086449760915,570.2161651151242,571.3086449760915,0.8172988489694717
22,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,15,distance,1,569.9307014361129,569.7448841986231,570.0203580913696,569.7448841986231,0.8464810334927304
23,False,False,True,False,1,False,1.0,1.0,auto,1.0,0.5,15,distance,2,569.9740695610932,569.8927453862309,570.0478289491969,569.8927453862309,0.8112887894025672
24,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,5,uniform,1,570.1759687988681,570.3070570684929,570.1326587479308,570.2305927157437,0.8751466459590878
25,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,5,uniform,2,570.795929858421,570.3724087304537,569.8966409950852,570.1796543507088,0.8919440880099664
26,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,5,distance,1,570.0301953054869,570.3146212940551,569.8610093659937,570.1540587156189,0.9293862376661796
27,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,5,distance,2,570.2740133348228,570.3267754251137,570.2263510759046,570.2777776790183,0.9338828500809508
28,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,10,uniform,1,570.2910823993554,570.3818352846667,570.2868094428145,570.2511194551201,0.8604056311554362
29,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,10,uniform,2,574.4320826134166,570.3926010795387,570.3530767585037,570.2497035874165,0.8813121190252478
30,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,10,distance,1,570.5748975041226,570.4162479317747,570.5530469341271,570.3353765318462,0.9215915992238044
31,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,10,distance,2,570.210106697202,570.3854180970961,570.1980646737437,570.3038531230984,0.8589981757980072
32,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,15,uniform,1,570.8704521058165,570.347503285924,570.6951450167162,570.1815105079153,0.8254597468588107
33,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,15,uniform,2,570.2220497217533,570.3705944573393,570.1769583798747,570.3130555672216,0.8724171073370698
34,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,15,distance,1,570.6145282521519,570.363977852493,570.583717869049,570.3369460402598,0.8072177474833426
35,False,False,True,False,2,True,1.0,1.0,auto,1.0,0.5,15,distance,2,570.694340458039,570.3968405575231,569.7472388707538,570.2486847060043,0.8800129037810558
36,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,5,uniform,1,570.0659200135092,570.310200140948,569.8157959477509,572.4671194427426,0.9961249389129524
37,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,5,uniform,2,569.9310610951584,570.8077989608588,570.2422400748662,571.7617352165838,0.8959012267798766
38,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,5,distance,1,569.8862231281119,569.2076965680706,569.9969725230877,571.5137960944455,0.9394365009070974
39,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,5,distance,2,569.8754916637794,570.8088539204455,569.8905415848727,572.345483829188,1.0799680048661435
40,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,10,uniform,1,570.115683053113,570.5540166592497,570.2126540325012,572.2809410327335,0.8837832236034491
41,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,10,uniform,2,570.1510575942917,572.9153687452942,570.4339539448342,572.9483946191739,0.8821603140529943
42,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,10,distance,1,570.0792762326962,571.4346077370567,570.1274085275824,572.4189285706033,0.9515964343241994
43,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,10,distance,2,570.3093151502093,571.3542800618683,570.1803067803362,572.3017215800947,0.8842034229651994
44,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,15,uniform,1,570.393888270473,569.8927592592552,570.3224356579967,571.9041741998333,0.8340247152323019
45,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,15,uniform,2,569.7731457525862,571.3279244566078,569.9033262178592,572.8987549771942,0.9392557501778772
46,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,15,distance,1,569.7818245991698,569.8549200817819,569.9531824322812,571.3649604551932,0.8930811042025674
47,False,False,True,False,2,False,1.0,1.0,auto,1.0,0.5,15,distance,2,570.0741154090185,571.2051287405637,569.9901827292013,572.4877112311276,0.8899158905638339
48,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,5,uniform,1,568.7365410062398,570.1927246785002,570.2325453894641,570.1009865828547,0.8991392187307202
49,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,5,uniform,2,5.023176500307146e+21,570.1799277977957,570.604618460113,570.1301346494417,0.9239395045000386
50,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,5,distance,1,6.432157757527079e+22,570.2574929808745,570.0365320118932,570.2224139209522,0.9872051321734204
51,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,5,distance,2,570.6218045124521,570.2559669675509,570.4401168961825,570.1707035444967,1.006137483372502
52,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,10,uniform,1,5.008500251573539e+21,570.3554503240686,571.0258777694238,570.2668789387155,0.8953617725710125
53,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,10,uniform,2,569.4056087162768,570.2170989473539,569.6389914514377,570.1683561398659,0.8004448105110576
54,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,10,distance,1,6.180067844213314e+19,570.3036923424321,570.0460146746818,570.2294724527555,0.8697674181949988
55,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,10,distance,2,570.9427285155431,570.3557488811978,570.5762481652451,570.2374582038244,0.8409224705177498
