index,keep_incomplete_data,normalize_data,standardize_data,full_one_hot,polynomial_degree,logistic_penalty,logistic_C,logistic_solver,logistic_multiclass,random_forest_n_estimators,random_forest_criterion,knn_n_neighbours,knn_algorithm,knn_p,Logistic_Acuracy,KNN_Acuracy,Random_forest_Acuracy,Logistic_Precision,KNN_Precision,Random_forest_Precision,Logistic_F1,KNN_F1,Random_forest_F1
0,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,1,auto,1,0.9425010682238998,0.9154251531120924,0.9323458196838056,0.9441423484083554,0.919927974382828,0.9364862697190404,0.9424997575120456,0.9156660039765,0.9327771973637712
1,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,1,auto,2,0.9305796895029198,0.9272041019797748,0.9356644352656316,0.935231077253157,0.9325550713496592,0.9395173321026794,0.9308204918324144,0.9275705583019412,0.9361723777694496
2,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,2,auto,1,0.9475573280159522,0.925594644637516,0.932331576698476,0.9503418772271818,0.9335189908282382,0.934951694606387,0.9476416380765068,0.9258422442801568,0.932419275956642
3,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,2,auto,2,0.9272325879504344,0.9001851588092864,0.9221620851730522,0.933358664399354,0.9121401000475142,0.9265130528535648,0.9268106734743016,0.90088048340552,0.9218910316558618
4,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,3,auto,1,0.9373735935051988,0.908602763139154,0.9153254522147842,0.9381380948618436,0.9112982307622391,0.9163588177992984,0.9372824382254954,0.9087165062736656,0.9154160903705512
5,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,3,auto,2,0.9373878364905284,0.9170488534396808,0.9306081754735792,0.9407933328617158,0.9206008447423679,0.934888835392108,0.937750633831795,0.9174699209587592,0.9301447984490714
6,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,4,auto,1,0.9475573280159522,0.920524141860134,0.9357356501922804,0.9493055691110356,0.9266203916288108,0.939119545780609,0.9471824296300272,0.9204466307881072,0.9358570603807616
7,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,entropy,4,auto,2,0.9391254807007547,0.9070075487822248,0.9205526278307932,0.9415866691604136,0.9103011169018091,0.9226592420716736,0.9390292249086633,0.9076970223785512,0.9206229581034292
8,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,1,auto,1,0.9407634240136732,0.9390685087594358,0.945805440820396,0.9468350245699724,0.9411877006377156,0.9486936970368086,0.9411872772415092,0.9394957260689034,0.9463179110133908
9,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,1,auto,2,0.9373735935051986,0.9035322603617718,0.9356644352656318,0.9404001398870196,0.9090973820107818,0.9393668379820796,0.9374632390677088,0.9036528121350228,0.9361884286472346
10,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,2,auto,1,0.9170203674690216,0.8866115937900585,0.9221051132317336,0.928001880825872,0.8973659689335678,0.927322484254026,0.9181493721864816,0.8873668146884237,0.9225838610509892
11,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,2,auto,2,0.9475003560746332,0.928899017234012,0.9373735935051986,0.949609324108236,0.9352300082988412,0.9408532634176652,0.9474728443091586,0.9284016574476048,0.9372212318014
12,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,3,auto,1,0.9407919099843328,0.9221905711437116,0.9390969947300954,0.9456300164233044,0.9263350260467559,0.9427225463967736,0.9410343535768158,0.9223341344508926,0.9394976456917572
13,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,3,auto,2,0.9256088876228459,0.9103688933200401,0.9238712434126192,0.9295378559471676,0.9152595748046436,0.9278117602148584,0.92574470501578,0.9107375236637152,0.9235211589667408
14,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,4,auto,1,0.9475003560746332,0.928913260219342,0.9339695200113944,0.9491893750971075,0.9325232599246216,0.9361014114593303,0.9474831988448804,0.9287196682760324,0.9338971417356688
15,False,False,True,False,1,l2,1.0,newton-cg,multinomial,50,gini,4,auto,2,0.9221478421877226,0.9153539381854441,0.9272183449651048,0.923482693945812,0.9154321591818612,0.9285437810073052,0.9220328025436252,0.9148723446303192,0.9273296753337869
16,False,False,True,False,1,l2,1.0,newton-cg,multinomial,100,entropy,1,auto,1,0.9374305654465176,0.9188149836205668,0.9374020794758582,0.941724994899182,0.922576764553882,0.9404829364943202,0.9378027551261804,0.9198572290798748,0.937853760669688
17,False,False,True,False,1,l2,1.0,newton-cg,multinomial,100,entropy,1,auto,2,0.9458624127617148,0.9289417461900014,0.9272895598917532,0.9482679115830565,0.93078953944785,0.9301991829432034,0.9460181140959872,0.9287251329482034,0.9278221902358916
18,False,False,True,False,1,l2,1.0,newton-cg,multinomial,100,entropy,2,auto,1,0.94248682523857,0.922176328158382,0.940777666999003,0.9442006642559454,0.929994658041542,0.9433913763928714,0.9420896226752294,0.9219529617342334,0.9407243797556936
19,False,False,True,False,1,l2,1.0,newton-cg,multinomial,100,entropy,2,auto,2,0.9390969947300954,0.918758011679248,0.9323458196838056,0.9410970496940652,0.9287427331592812,0.9334582229129641,0.9392730014273212,0.9199423837211363,0.9324945662787728
20,False,False,True,False,1,l2,1.0,newton-cg,multinomial,100,entropy,3,auto,1,0.9408773678963108,0.9205098988748042,0.9358068651189289,0.9415081980206252,0.9231405223992082,0.9393012426102064,0.9408183775202448,0.9205801807386506,0.9359989992763872
